Date,Topic,Reading,Problems
<b>First Principles:</b>,,,
"Mon, Sept 14",What is probability? + Basic set theory,A.1 + 1.1 + 1.2 ,
"Wed, Sept 16",Basic set theory + Naive definition of probability + Multiplication rule,1.2 + 1.3  + 1.4,
"Fri, Sept 18",More counting + Sampling methods,1.4,"<a href=""post/ps/ps1-m240-f15.pdf"">Problem Set 1</a>"
"Mon, Sept 21",More counting + Story Proofs,"1.5, 1.6",
"Tues, Sept 22",,,"Chapter 1 #5, 7, 21, 24, 33, 36"
"Wed, Sept 23", Story Proofs + Axioms of probability + Properties + Inclusion-exclusion,1.6,
"Fri, Sept 25",Conditional probability + Bayes' rule + LOTP,2.1 + 2.2 + 2.3 + 2.4,"Chapter 1 #20, 41, 42, 43, 50, 53"
"Mon, Sept 28",Conditional probability + Bayes' rule + LOTP + Independence,2.1 + 2.2 + 2.3 + 2.4 + 2.5,
"Tues, Sept 29",,,"Chapter 2 #4, 6, 11, 13, 60"
"Wed, Sept 30",Conditional independence + First step analysis,2.5 + 2.6 + 2.7 + 2.8,
"Fri, Oct 2",<b>Midterm I</b>,,Review PS + Strategic practice problems
<b>Random Variables & Univariate Distributions:</b>,,,
"Mon, Oct 5",RVs + PMFs + Discrete Uniform,3.1 + 3.2 + 3.5,
"Wed, Oct 7",Bernoulli + Binomial + Hypergeometric + CDFs,3.3 + 3.4 + 3.6,
"Fri, Oct 9",Functions of RVs + Independence of RVs + Expectation,3.7 + 3.8,"Chapter 3 #5, 9, 14, 15, 17, 30, 31"
"Mon, Oct 12",Conditional Independence + Expectation + Linearity + Indicator RVs,4.1 + 4.2 + 4.4,
"Tues, Oct 13",,,"Chapter 3 #22, 24, 38, 40, 41, 44ab"
"Wed, Oct 14",LOTUS + Variance + Geometric + Negative Binomial,4.3 + 4.5 + 4.6,
"Fri, Oct 16",Poisson + PDFs,4.7 + 5.1,"Chapter 4 #5, 6, 9, 12, 14, 16"
